,Name,Machine learning pscore,Machine learning year,Machine learning year combined
0,Stanford University,500569.802351,32638.7278467,3196705312.8
1,University of California-Berkeley,735335.567355,73660.131923,10064484755.5
2,Massachusetts Institute of Technology,514087.137879,27163.6432824,1410299836.73
3,Carnegie Mellon University,1155219.57348,90752.7797155,5725099944.18
4,University of Illinois at Urbana-Champaign,338130.270149,7820.68090222,300181321.499
5,Princeton University,150630.48631,20546.7579492,1335332191.2
6,Cornell University,410870.346036,25170.2873802,1088983339.45
7,University of California-Santa Barbara,86769.7365546,68.7920452914,908410.98504
8,University of North Carolina at Chapel Hill,15005.1833333,0.0,0.0
9,University of California-Los Angeles,333176.932937,12991.685597,534834275.063
10,University of Texas at Austin,349773.838095,28749.203522,1753125943.36
11,Georgia Institute of Technology,403672.065945,30569.9657764,1452945946.7
12,Michigan State University,182619.727778,10696.1374362,1217420087.38
13,University of Maryland College Park,36239.1357143,446.527845882,4299395.4986
14,University of California-San Diego,381250.310965,33479.0815322,1892639067.08
15,University of Michigan-Ann Arbor,57057.2557692,1950.92422547,23386659.7166
16,University of Southern California,497662.667186,9557.09007371,316744852.795
17,University of Pennsylvania,332883.437312,32531.0179373,1047566511.81
18,University of Massachusetts Amherst,434772.794993,28284.2433284,1279284536.88
19,University of Wisconsin-Madison,218748.907954,10256.4187522,384276608.532
20,Harvard University,127734.57381,13198.1350196,280352473.095
21,University of Rochester,146697.680952,2985.03128537,46270527.9265
22,University of Washington,517257.713941,44200.9397688,2116573752.08
23,Purdue University Main Campus,137134.351103,6607.19739063,84078296.1958
24,Duke University,146910.877214,6653.99277453,230907468.284
25,New York University,228535.951786,19393.9063647,1292397101.6
26,Tufts University,40025.8452381,1625.90540361,41448054.6003
27,State University of New York at Stony Brook,31406.2666667,2397.82792596,54910627.9091
28,Louisiana State University and Agricultural and Mechanical College,11493.2452381,0.0,0.0
29,University of California-Riverside,127496.027632,3821.18643198,130523895.607
30,Penn State University,908.0,0.0,0.0
31,University of Minnesota-Twin Cities,4962.06666667,0.0,0.0
32,Brown University,160090.373266,8698.03561193,593009226.532
33,Rice University,41820.9853641,1367.02127732,13005347.7514
34,University of California-Irvine,350699.121324,35474.5537696,2088940503.57
35,Ohio State University Main Campus,28696.2833333,4150.76826663,115018931.618
36,Yale University,77366.4962213,3471.52787574,45164781.6805
37,Arizona State University,218087.381602,5120.49754137,262058609.945
38,University of Nebraska - Lincoln,10034.3333333,759.392135583,7379772.7736
39,Columbia University In The City of New York,10999.8333333,169.148302698,681254.814126
40,University of Connecticut,43900.5833333,965.423933028,17929712.8903
41,University of California-Davis,67868.7991087,4453.21307824,124358295.873
42,State University of New York at Buffalo,5553.46666667,8.65951086777,22757.1945605
43,Texas A & M University,3824.53333333,0.0,0.0
44,University of Oklahoma Norman Campus,18004.660084,457.907270488,3812825.16486
45,University of Pittsburgh Pittsburgh Campus,15303.3333333,241.951074276,2853446.96461
46,University of Utah,54170.55,982.391607771,5137547.40535
47,University of California-Santa Cruz,196748.711905,24055.6687316,1572771062.6
48,Indiana University at Bloomington,22465.9333333,192.597910471,707989.414206
49,University of Virginia,34054.0380952,1775.84267117,22392060.1606
50,University of South Florida,36087.4904762,112.587885615,705270.830065
51,University of Arizona,21811.183584,75.2130753103,470707.481032
52,Virginia Polytechnic Institute and State University,6747.23333333,7.09706381407,30219.2977203
53,University of Chicago,85680.2551149,14394.4719752,833149028.179
54,Washington University In St. Louis,2166.63636364,0.0,0.0
55,Georgia State University,13720.1666667,0.0,0.0
56,North Carolina State University,64710.744697,33.5705845624,141274.535181
57,University of Tennessee,48019.45,53.5875851425,399855.830436
58,Johns Hopkins University,80692.6692308,2588.68290873,36038176.2157
59,Vanderbilt University,59940.1155678,1599.0725759,31028799.1488
60,Florida Institute of Technology,18949.45,296.815440386,3242708.68621
61,University of Colorado at Boulder,21965.5666667,32.2981975987,184061.398204
62,Lehigh University,25230.5833333,9.0060216981,31989.3890717
63,University of Central Florida,71848.1,71.6331680053,411016.617306
64,University of Kentucky,48595.7,336.272638563,4176169.89831
65,Florida State University,21473.7083333,73.4364748018,440294.683225
66,Oklahoma State University Main Campus,4346.0,0.0,0.0
67,Washington State University,64604.0247863,1262.51430415,18901023.4499
68,Iowa State University,46204.5833333,1494.05587861,23520171.9062
69,Northwestern University,185202.997222,615.841472566,7233271.79733
70,Dartmouth College,48254.6666667,1245.09460679,19314971.498
71,Boston University,45880.0988095,754.78425294,6578130.89365
72,University of Georgia,24594.9833333,11.0260454584,53399.1381551
73,Rutgers The State University of New Jersey New Brunswick Campus,2301.26666667,0.0,0.0
74,University of Maryland Baltimore County,15306.1474359,12.2862110993,45959.0225262
75,California Institute of Technology,122734.484774,4199.58799948,89053555.7884
76,University of Delaware,47506.3277778,109.22162157,579447.327284
77,University of Texas at Dallas,110208.060562,2643.38811572,53196869.7831
78,University of Cincinnati Main Campus,9595.66666667,0.0,0.0
79,Kent State University Main Campus,12569.4444444,83.2263977198,751035.013023
80,Oregon State University,214362.07803,18075.1584701,1320965710.93
81,University of Iowa,32314.8277778,4272.66188666,109842025.435
82,Rensselaer Polytechnic Institute,89543.9809524,1435.85483479,25838714.5505
83,University of Florida,62675.2,468.197205317,6257553.39381
84,Northeastern University,115624.808886,2725.18097444,64546474.2351
85,Illinois Institute of Technology,16988.9833333,233.72003232,1201224.02087
86,Auburn University,3551.66666667,0.0,0.0
87,Wayne State University,21168.1111111,0.0,0.0
88,University of Oregon,50483.3666667,1746.1436419,24853116.6847
89,Wright State University Main Campus,32279.8333333,868.972437538,16923003.6853
90,University of Illinois at Chicago,138232.205411,3228.10275324,84808957.2778
91,Brandeis University,28556.4047619,286.864632604,4253055.04299
92,North Dakota State University Main Campus,12330.1,6.3268233622,11065.6140605
93,City University of New York Grad. Center,1744.5,0.0,0.0
94,State University of New York at Binghamton,7677.0,37.6513367824,345563.968988
95,University of North Carolina at Charlotte,36525.5930403,89.1372786245,606765.775916
96,Case Western Reserve University,58258.6345238,4252.92599738,100982916.899
97,University of New Mexico Main Campus,21160.0333333,521.339352509,8524304.09677
98,Syracuse University Main Campus,57840.3666667,53.9089700787,190815.261343
99,New Mexico State University Main Campus,342.666666667,0.0,0.0
100,New Jersey Institute of Technology,126.0,0.0,0.0
101,University of South Carolina Columbia,30592.7944444,369.851758249,3256979.44289
102,College of William and Mary,10448.9833333,107.242575692,340816.905549
103,Florida International University,37778.825,112.038813345,4093338.04557
104,George Washington University,24310.5,1791.30512637,25406080.6073
105,Old Dominion University,11405.05,11.9146871954,66340.9783038
106,Texas Tech University,19691.0,37.2849440087,46606.1800108
107,University of Kansas,43794.7416667,480.637374265,3022707.91883
108,University of Arkansas Main Campus,2784.53333333,0.0,0.0
109,University of Alabama,6198.06666667,0.0,0.0
110,Mississippi State University,23366.6333333,815.832240741,16605449.428
111,University of Houston,34751.1666667,141.103160041,1054232.23555
112,University of North Texas,19162.9833333,53.9325341837,299091.094227
113,Clemson University,8743.48333333,0.0,0.0
114,State University of New York at Albany,31088.5797619,1004.05959578,15154271.479
115,Brigham Young University,52834.3333333,2812.87132048,47666335.6387
