,Akey,Information retrieval score
27508,Emine Yilmaz,0.645833333333
14008,Ben Carterette,0.635135135135
14682,James P. Callan,0.583333333333
3593,Charles L. A. Clarke,0.572413793103
38266,Christina Lioma,0.555555555556
39296,Miles Efron,0.540540540541
7867,Jamie Callan,0.535353535354
3082,James Allan,0.529032258065
629,W. Bruce Croft,0.526501766784
10368,Gordon V. Cormack,0.511627906977
5894,Luo Si,0.477876106195
42440,Mark James Carman,0.457142857143
8956,Javed A. Aslam,0.440860215054
1283,ChengXiang Zhai,0.421296296296
10475,Jimmy J. Lin,0.413793103448
8212,Eugene Agichtein,0.40404040404
9874,Andrew Trotman,0.397727272727
17906,Claudia Hauff,0.370967741935
16233,David A. Grossman,0.352941176471
1650,Alistair Moffat,0.340101522843
227,Maarten de Rijke,0.33681462141
114227,Niranjan Balasubramanian,0.333333333333
146348,Stephen F. Weiss,0.333333333333
11075,Andrew Turpin,0.333333333333
1416,Justin Zobel,0.328571428571
7054,Nivio Ziviani,0.31067961165
11251,Padmini Srinivasan,0.309523809524
9647,Brian D. Davison 0001,0.307692307692
9897,Edleno Silva de Moura,0.288888888889
3303,Jian-Yun Nie,0.281879194631
168541,Ramesh S. Sankaranarayana,0.272727272727
65479,Hongning Wang,0.25
10899,Berthier A. Ribeiro-Neto,0.243902439024
18120,Nazli Goharian,0.238095238095
22076,William B. Frakes,0.232142857143
36536,Marco Cristo,0.230769230769
7300,Yiming Yang,0.228571428571
14861,Shmuel T. Klein,0.225352112676
12695,Lillian Lee,0.219512195122
63284,Yisong Yue,0.217391304348
33033,Charles K. Nicholas,0.214285714286
42594,Chengxiang Zhai,0.205882352941
19814,R. Manmatha,0.2
28552,Shlomo Argamon,0.195652173913
61466,Christina Boucher,0.190476190476
56781,Doug Downey,0.185185185185
726,Ophir Frieder,0.182156133829
5941,Aixin Sun,0.181034482759
42247,Joyce Y. Chai,0.176470588235
11638,Tomek Strzalkowski,0.170731707317
26985,Caroline M. Eastman,0.163265306122
46850,Yanjun Qi,0.161290322581
10117,Sanda M. Harabagiu,0.157303370787
5033,Thorsten Joachims,0.155963302752
35268,Jeff Huang,0.15
15290,Qiaozhu Mei,0.149253731343
57690,Lee A. Hollaar,0.148148148148
21790,Eric Nyberg,0.142857142857
124212,Frederick B. Thompson,0.142857142857
4893,Ingemar J. Cox,0.140495867769
10853,Rohini K. Srihari,0.139534883721
1107,Clement T. Yu,0.138528138528
4824,Martha Larson,0.137096774194
111711,Theodore Kalamboukis,0.133333333333
6279,Altigran Soares da Silva,0.132743362832
48602,Sutanu Chakraborti,0.129032258065
2799,Vijay V. Raghavan,0.128834355828
6405,Vasudeva Varma,0.128440366972
3109,Ely Porat,0.126984126984
20016,Eytan Adar,0.122807017544
20117,Vijay Raghavan,0.118644067797
18875,Junghoo Cho,0.116666666667
12778,Xin Fu,0.115384615385
398,Tat-Seng Chua,0.112462006079
7913,John D. Lafferty,0.112359550562
9505,Rahul Shah,0.112359550562
6458,Min-Yen Kan,0.11
21142,Garrison W. Cottrell,0.109090909091
6127,Dragomir R. Radev,0.108910891089
9405,Torsten Suel,0.108695652174
26478,Jakub Radoszewski,0.108108108108
6018,Marti A. Hearst,0.107142857143
80976,Chee-Yong Chan,0.105263157895
2395,Hongyuan Zha,0.104938271605
16310,Donald H. Kraft,0.10447761194
29366,Ce Zhang,0.102564102564
27936,Alessandro Flammini,0.1
