,Name,ndcg pos
18,University of Massachusetts Amherst,3.42493555924
3,Carnegie Mellon University,2.90778265428
4,University of Illinois at Urbana-Champaign,2.07604692995
258,National University of Singapore,1.91685367246
206,University of Melbourne,1.81859249515
160,University of Waterloo,1.77538845551
0,Stanford University,1.72679821035
6,Cornell University,1.59009552806
11,Georgia Institute of Technology,1.57661017975
135,Universidade Federal de Minas Gerais,1.50174620153
23,Purdue University Main Campus,1.38634698806
16,University of Southern California,1.34227729005
230,Bar-Ilan University,1.2965410671
84,Northeastern University,1.23697397936
193,TU Delft,1.16291321268
2,Massachusetts Institute of Technology,1.13137158748
159,Nanyang Technological University,1.09102521939
219,University College London,1.08873885497
189,Politecnico di Milano,1.0090707591
37,Arizona State University,1.00434068591
180,VU Amsterdam,0.965418081088
194,University of Minnesota,0.94252334594
47,University of California-Santa Cruz,0.94199357284
22,University of Washington,0.896767414732
177,Georgetown University,0.884155134584
34,University of California-Irvine,0.882685364851
265,Simon Fraser University,0.882314057397
156,University of Texas at Arlington,0.858023581893
202,University of Edinburgh,0.839287878778
264,Hebrew University of Jerusalem,0.824630333586
208,University of Sydney,0.810611268524
192,Technion-Israel Institute of Technology,0.804261088796
267,University of Toronto,0.784860083396
220,Columbia University,0.775431786213
168,University of Michigan,0.761407278347
227,Athens University of Economics and Business,0.757488298611
154,ETH Zurich,0.754917454107
1,University of California-Berkeley,0.752980929619
32,Brown University,0.751160998143
69,Northwestern University,0.74967293821
243,University of Alberta,0.747411594856
268,University at Buffalo,0.711646442404
231,University of Maryland-College Park,0.697562036383
29,University of California-Riverside,0.690910035295
134,Universidade Federal do Amazonas,0.684942528305
228,Texas A&M University,0.679496014027
76,University of Delaware,0.678988949738
246,Max Planck Institute,0.662837032122
164,University of Queensland,0.662245381483
239,IIT Bombay,0.63126169509
14,University of California-San Diego,0.60678178535
169,IIT Madras,0.603611011619
261,University of Montreal,0.581425533187
12,Michigan State University,0.572503611198
7,University of California-Santa Barbara,0.571834953658
144,Pontifícia Universidade Católica do Rio de Janeiro,0.570353388963
196,Pennsylvania State University,0.564518011518
61,University of Colorado at Boulder,0.559937498999
182,Monash University,0.55635384821
77,University of Texas at Dallas,0.540140235543
9,University of California-Los Angeles,0.528178469402
103,Florida International University,0.515167728423
235,Stony Brook University,0.511488595837
90,University of Illinois at Chicago,0.51050034216
17,University of Pennsylvania,0.496659174057
25,New York University,0.496146628176
152,University of Oxford,0.493225392146
205,IIT Kharagpur,0.492930045274
52,Virginia Polytechnic Institute and State University,0.491885073791
255,IIT Delhi,0.490601373611
83,University of Florida,0.483151539173
95,University of North Carolina at Charlotte,0.477344016417
190,Australian National University,0.476015924979
252,Rutgers University,0.473994802621
248,University of Athens,0.46596191517
151,Imperial College London,0.465535022561
62,Lehigh University,0.462961571732
24,Duke University,0.459247044835
171,University of British Columbia,0.456523727418
234,University of Warsaw,0.454961291339
5,Princeton University,0.454754556471
266,Indiana University,0.446761043592
33,Rice University,0.440263098475
49,University of Virginia,0.437735927924
179,University of Otago,0.436506143392
8,University of North Carolina at Chapel Hill,0.429082527826
85,Illinois Institute of Technology,0.420915442815
215,DIKU,0.412084312157
101,University of South Carolina Columbia,0.4049999984
15,University of Michigan-Ann Arbor,0.390591290417
48,Indiana University at Bloomington,0.386301932107
